OrthoPixelX,OrthoPixelY,UTM_11N_X,UTM_11N_Y,Latitude,Longitude
7836.69242948282,4798.66853286613,682701.13558192,4029451.0287814,36.392857125788,-114.962837707374
7917.41741587524,4930.34289593312,682705.977466604,4029443.1309531,36.392785048556,-114.962785607507
8435.51302525009,4959.45682547919,682737.052841255,4029441.38469961,36.3927634060177,-114.962439718469
7515.11584433432,4836.3843052044,682681.847418343,4029448.76658937,36.3928404115868,-114.963053184321
7419.83389320768,4885.34864122386,682676.132406915,4029445.8297085,36.3928150378925,-114.963117562328
8514.25297098741,5608.56511766385,682741.7756632,4029402.45118424,36.3924117310513,-114.962396246534
7600.47259225532,5745.53292244673,682686.967116083,4029394.23585531,36.3923481359964,-114.963008954756
7691.12278189221,5680.02658103018,682692.404314458,4029398.16492567,36.3923825017346,-114.962947439672
8874.86868889537,6129.9691281383,682763.40539396,4029371.17737169,36.3921258515886,-114.962162566374
8579.75931241948,6305.31438544676,682745.704733559,4029360.66016316,36.392034461936,-114.962362292477
8297.8835402566,6384.05433116855,682728.797824745,4029355.93734122,36.391995126308,-114.96255180985
8221.12863516662,6331.11991388546,682724.194065537,4029359.11234757,36.3920246074334,-114.962602366227
7646.12852719848,6062.4777460977,682689.705559061,4029375.22550479,36.3921763389513,-114.962982908639
7357.63595285968,6460.80923629735,682672.401774453,4029351.33358201,36.3919643710856,-114.963181356211
7287.49784993009,6303.99102501002,682668.194891039,4029360.73953832,36.3920499151238,-114.963226025022
7562.09513972198,6545.50430401551,682684.665236481,4029346.25357185,36.3919162705673,-114.963045889811
7671.27237540329,6435.66538806149,682691.213687077,4029352.84171002,36.3919743823014,-114.962971366261
7747.36560028266,6511.09693275355,682695.777758705,4029348.31732597,36.3919327514687,-114.962921569368
6719.77622433293,5993.66300357378,682634.142947936,4029379.35301305,36.392224088684,-114.963601116087
6711.83606173581,6016.82181115454,682633.666696983,4029377.96394777,36.3922116642233,-114.963606749888
6707.86598044113,5530.48685214489,682633.428571507,4029407.13431861,36.3924745240897,-114.963602545753
7483.35519397689,7039.1177453651,682679.942414535,4029316.64663763,36.391650420632,-114.963105481705
8737.90088411249,6998.75525215336,682755.190065029,4029319.06757998,36.3916579239135,-114.962266374655
8903.98261841815,7052.35134968587,682765.151647453,4029315.85288605,36.3916270660319,-114.962156122013
9117.70532827549,6841.27536066319,682777.97073559,4029328.51322387,36.3917386927464,-114.962010291359
8032.54977349857,7557.21335479429,682712.883105414,4029285.57126298,36.3913641797039,-114.962745708806
8715.40375676563,7116.53433069674,682753.840687331,4029312.00319085,36.3915945329789,-114.962283073545
8207.89503086137,6945.82083488579,682723.400313951,4029322.24258632,36.3916925751929,-114.962619883492
8772.30825536669,7891.36186402965,682757.253819157,4029265.5290354,36.3911751686003,-114.962255971291
9136.89405456157,7812.62191826128,682779.121675393,4029270.25185734,36.3912135601951,-114.9620111728
7574.00538360602,7577.0637612211,682685.379612909,4029284.3806356,36.3913586818565,-114.963052478516
6650.96148182455,7518.17422200376,682630.01543968,4029287.91283016,36.3914010297528,-114.963668608186
6330.70825714385,7293.86462867583,682610.806651264,4029301.36691957,36.3915258969498,-114.963879502288
8050.41513935568,7939.6645197997,682713.954670059,4029262.6318421,36.3911573000483,-114.962739162639
7912.78565436219,8252.63926209388,682705.699653549,4029243.85961706,36.3909897386791,-114.962835568225
8858.32668349053,7908.565549583,682762.413204476,4029264.49715834,36.3911648904834,-114.962198719734
4033.52079671921,6641.85221488959,682473.021347387,4029340.47462415,36.3919044187545,-114.965405755148
4734.24014582786,6134.78460913091,682515.050493947,4029370.88853914,36.39217045524,-114.96493024715
